account_node,graph_louvain_community,graph_betweenness,graph_pagerank,graph_fan_in_out_ratio
80647C390,96,0.0,8.256837729459909e-06,1.0
806EDE740,96,0.0,1.531111595884167e-05,0.0
100428660,91,0.0,7.879962002327755e-05,139.54545454545453
8047FDD30,91,0.0,8.304174679462898e-06,0.0
806B08930,97,0.0,8.256837729459909e-06,1.0
806EA5D10,97,0.0,1.531111595884167e-05,0.0
80F528DC0,98,0.0,8.256837729459909e-06,1.0
80F526900,98,0.0,1.531111595884167e-05,0.0
80FF27100,99,0.0,3.379842235911546e-05,0.5
80998CCA0,100,0.0,8.256837729459909e-06,1.0
80A0E8A60,100,0.0,1.531111595884167e-05,0.0
80D7E5F60,91,0.0,8.304174679462898e-06,0.0
80B389650,91,0.0,8.304174679462898e-06,0.0
800CFCE50,101,0.0,8.256837729459909e-06,1.0
800CF1890,101,0.0,1.531111595884167e-05,0.0
800D0BFD0,102,0.0,8.256837729459909e-06,2.0
81118E710,102,0.0,1.1783976844150791e-05,0.0
813561460,103,0.0,8.256837729459909e-06,1.0
81407E310,103,0.0,1.531111595884167e-05,0.0
8100EC210,104,0.0,8.256837729459909e-06,1.0
81085E070,104,0.0,1.531111595884167e-05,0.0
80088FBE0,105,0.0,1.531111595884167e-05,1.5
8021C5DE0,105,0.0,1.2795195140094007e-05,0.0
804B9C790,106,0.0,8.256837729459909e-06,1.0
804DFD540,106,0.0,1.531111595884167e-05,1.5
80D667890,107,0.0,8.256837729459909e-06,1.0
80D90FE90,107,0.0,1.531111595884167e-05,0.0
800FC0970,108,0.0,8.256837729459909e-06,2.0
80ACEA1D0,108,0.0,1.1783976844150791e-05,0.0
80BF6A730,109,0.0,3.379842235911546e-05,0.5
801BE81A0,110,0.0,8.256837729459909e-06,1.0
806C3CF20,110,0.0,1.531111595884167e-05,0.5
8053CBC70,111,0.0,8.256837729459909e-06,2.0
8053D4E10,111,0.0,1.1783976844150791e-05,0.0
813C7EE41,112,0.0,8.256837729459909e-06,1.0
813D904A1,112,0.0,1.531111595884167e-05,0.0
80DC5ABB0,1015,0.0,8.357215173412262e-06,0.0
813C2D301,113,0.0,1.0532148901758087e-05,2.0
80DBDE2A0,114,0.0,1.1783976844150791e-05,1.0
80EF0B3D0,114,0.0,1.3424175344780922e-05,0.0
806B60FD0,115,0.0,1.531111595884167e-05,0.5
807538FF0,115,0.0,2.1871909961362203e-05,0.0
801060350,116,0.0,8.256837729459909e-06,1.0
807B7C980,116,0.0,1.531111595884167e-05,0.0
808D1E840,117,0.0,8.256837729459909e-06,1.0
80C96ED20,117,0.0,1.531111595884167e-05,0.0
8037E94B0,118,0.0,1.531111595884167e-05,0.5
8047D59D0,118,0.0,2.1871909961362203e-05,0.0
80CC9BFF0,119,0.0,8.256837729459909e-06,1.0
80CFC08C0,119,0.0,1.531111595884167e-05,0.0
1004286F0,120,0.0,1.531111595884167e-05,81.5
80BC3EEE0,120,0.0,8.340365779962378e-06,0.0
804B60EF0,121,0.0,8.256837729459909e-06,2.0
804BEC480,121,0.0,1.1783976844150791e-05,0.0
808B6CED0,122,0.0,8.256837729459909e-06,1.0
80E85BB80,122,0.0,1.531111595884167e-05,0.0
805C5A830,123,0.0,1.531111595884167e-05,0.5
80AA7DFD0,123,0.0,2.1871909961362203e-05,0.0
8001D79E0,124,0.0,1.7662542035302257e-05,0.3333333333333333
800205E90,124,0.0,2.4058841295535704e-05,0.0
8046BB970,125,0.0,8.256837729459909e-06,1.0
8047297E0,125,0.0,1.531111595884167e-05,0.0
80082B030,126,0.0,1.160058581925775e-05,1.5
100428780,127,0.0,2.236539418822343e-05,53.333333333333336
805524340,127,0.0,8.382936893425053e-06,0.0
8003147C0,128,0.0,1.531111595884167e-05,1.0
8004F9B30,128,0.0,1.5064373845411056e-05,0.0
8073C2A90,129,0.0,8.256837729459909e-06,1.0
80CC16170,129,0.0,1.531111595884167e-05,0.0
8039B5DB0,130,0.0,8.256837729459909e-06,1.0
803B8A3F0,130,0.0,1.531111595884167e-05,0.0
80BC11420,131,0.0,1.531111595884167e-05,0.5
80D0C5CB0,131,0.0,2.1871909961362203e-05,0.0
809595F40,132,0.0,8.256837729459909e-06,1.0
80962F8B0,132,0.0,1.531111595884167e-05,0.0
8118217E0,133,0.0,3.379842235911546e-05,0.5
8102998B0,134,0.0,1.531111595884167e-05,0.5
81254D0E0,134,0.0,2.1871909961362203e-05,0.0
80A1F6130,135,0.0,8.256837729459909e-06,1.0
80A213C70,135,0.0,1.531111595884167e-05,0.5
80098F070,136,0.0,8.256837729459909e-06,1.0
8018AD380,136,0.0,1.531111595884167e-05,0.5
802CB68A0,137,0.0,8.256837729459909e-06,1.0
805BCD430,137,0.0,1.531111595884167e-05,0.0
80FD6BE40,138,0.0,8.256837729459909e-06,1.0
80FFD9230,138,0.0,1.531111595884167e-05,0.5
8007599D0,139,0.0,8.256837729459909e-06,1.0
800BA6760,139,0.0,1.531111595884167e-05,0.0
80222D920,140,0.0,8.256837729459909e-06,1.0
80269E210,140,0.0,1.531111595884167e-05,0.0
812382B20,141,0.0,8.256837729459909e-06,1.0
8123858E0,141,0.0,1.531111595884167e-05,0.0
808CDAEC0,142,0.0,8.256837729459909e-06,1.0
80BB09470,142,0.0,1.531111595884167e-05,0.0
80949C0D0,143,0.0,8.256837729459909e-06,1.0
814506FC0,143,0.0,1.531111595884167e-05,0.0
800CA2C00,144,0.0,8.256837729459909e-06,1.0
80AEAD8B0,144,0.0,1.531111595884167e-05,0.0
80C2533F0,145,0.0,8.256837729459909e-06,1.0
80DF03700,145,0.0,1.531111595884167e-05,0.0
80EB59DF0,146,0.0,3.379842235911546e-05,0.5
80C182A70,147,0.0,8.256837729459909e-06,1.0
80C5D89D0,147,0.0,1.531111595884167e-05,0.0
80A2FDBA0,148,0.0,8.256837729459909e-06,1.0
80A72D290,148,0.0,1.531111595884167e-05,0.0
808EEC780,149,0.0,8.256837729459909e-06,1.0
813D146A0,149,0.0,1.531111595884167e-05,0.0
8111F0850,150,0.0,8.256837729459909e-06,1.0
8111F0760,150,0.0,1.531111595884167e-05,0.0
802F28860,76,0.0,8.311399867716372e-06,0.0
80E6C0EE0,151,0.0,8.256837729459909e-06,1.0
80EE3F7E0,151,0.0,1.531111595884167e-05,0.0
8000742F0,152,0.0,3.379842235911546e-05,0.5
80E678FC0,153,0.0,8.256837729459909e-06,1.0
80EA9DCB0,153,0.0,1.531111595884167e-05,0.0
81102BF90,154,0.0,8.256837729459909e-06,1.0
81102B600,154,0.0,1.531111595884167e-05,0.0
80649B140,155,0.0,8.256837729459909e-06,1.0
809A2C4D0,155,0.0,1.531111595884167e-05,0.0
801585180,156,0.0,1.5064373845411056e-05,0.5
8033D3080,156,0.0,2.094261912507181e-05,0.5
80117DD90,157,0.0,6.85836601889079e-05,0.3333333333333333
804A7DB40,158,0.0,1.1783976844150791e-05,0.5
80543FB30,158,0.0,1.859151296010193e-05,0.5
80E292480,159,0.0,1.531111595884167e-05,1.0
80F64F070,159,0.0,1.5064373845411056e-05,0.0
80BB1E7D0,91,0.0,1.5358452908844662e-05,0.0
80164A9C0,160,0.0,8.256837729459909e-06,1.0
8016DF8B0,160,0.0,1.531111595884167e-05,0.0
80152AC10,161,0.0,8.256837729459909e-06,1.0
801C18590,161,0.0,1.531111595884167e-05,0.0
80B237380,162,0.0,8.256837729459909e-06,1.0
80B2A99B0,162,0.0,1.531111595884167e-05,0.0
802247A90,91,0.0,8.304174679462898e-06,0.0
80A720810,163,0.0,8.256837729459909e-06,1.0
80A92C9C0,163,0.0,1.531111595884167e-05,0.0
8144185A1,5,0.0,8.31372707001944e-06,0.5
81490FA41,5,0.0,1.5364025587894255e-05,0.0
8005ADE70,164,0.0,1.1701729473007251e-05,0.5
8051F4930,164,0.0,1.828174934800514e-05,0.0
812C07620,165,0.0,8.256837729459909e-06,1.0
80B1373C0,165,0.0,1.531111595884167e-05,0.0
80C8423C0,166,0.0,8.256837729459909e-06,1.0
811C5D960,166,0.0,1.531111595884167e-05,0.0
8002C8CC0,167,0.0,1.531111595884167e-05,1.5
8004932A0,167,0.0,1.2795195140094007e-05,0.0
80432ED60,76,0.0,8.311399867716372e-06,0.5
80244F680,168,0.0,8.256837729459909e-06,1.0
802BFF000,168,0.0,1.531111595884167e-05,0.5
8011EEE40,169,0.0,8.256837729459909e-06,3.0
80A386540,169,0.0,1.0608263805920497e-05,0.0
8006B9870,170,0.0,8.256837729459909e-06,2.0
80093A580,170,0.0,1.1783976844150791e-05,0.5
8067E1A40,76,0.0,8.311399867716372e-06,0.0
81067BC50,91,0.0,8.304174679462898e-06,0.0
80007A1D0,171,0.0,8.256837729459909e-06,1.0
803E55490,171,0.0,1.531111595884167e-05,0.0
808290800,172,0.0,1.4463470640261736e-05,1.0
808C9C7F0,172,0.0,1.4463470640261736e-05,0.0
809794250,173,0.0,8.256837729459909e-06,1.0
81135BA40,173,0.0,1.531111595884167e-05,0.0
812F143F0,174,0.0,8.256837729459909e-06,1.0
812F151C0,174,0.0,1.531111595884167e-05,0.0
800A31080,175,0.0,8.256837729459909e-06,2.0
80C128EB0,175,0.0,1.1783976844150791e-05,0.0
807D33600,91,0.0,8.304174679462898e-06,0.0
806B549B0,176,0.0,8.256837729459909e-06,1.0
80B4C7710,176,0.0,1.531111595884167e-05,0.0
8025A5B40,177,0.0,3.379842235911546e-05,0.5
809082BD0,178,0.0,8.256837729459909e-06,2.0
8094B0860,178,0.0,1.1783976844150791e-05,0.5
8031AB950,91,0.0,8.304174679462898e-06,0.0
8076C2350,179,0.0,8.256837729459909e-06,2.0
8090131C0,179,0.0,1.1783976844150791e-05,0.0
8113970C0,180,0.0,3.379842235911546e-05,0.5
810FED580,181,0.0,8.256837729459909e-06,1.0
813181BF0,181,0.0,1.531111595884167e-05,0.0
80BD189E0,182,0.0,8.256837729459909e-06,1.0
80C1CA650,182,0.0,1.531111595884167e-05,0.0
813708BA1,5,0.0,8.31372707001944e-06,0.0
80E7E8030,183,0.0,8.256837729459909e-06,1.0
80EDCDCD0,183,0.0,1.531111595884167e-05,0.0
808CFE350,91,0.0,1.531111595884167e-05,0.5
80CF23080,91,0.0,2.1919246911365185e-05,0.0
80D8D4B50,91,0.0,8.304174679462898e-06,0.0
812D16F90,184,0.0,8.256837729459909e-06,1.0
812D19F40,184,0.0,1.531111595884167e-05,0.0
80930AC10,185,0.0,8.256837729459909e-06,1.0
8099C80E0,185,0.0,1.531111595884167e-05,0.0
80A0A0620,186,0.0,3.379842235911546e-05,0.5
80F643740,187,0.0,1.4463470640261736e-05,1.0
8123964E0,187,0.0,1.4463470640261736e-05,0.5
8058EEEF0,188,0.0,8.256837729459909e-06,1.0
805F67140,188,0.0,1.531111595884167e-05,0.0
80FFFC250,189,0.0,8.256837729459909e-06,2.0
81005D740,189,0.0,1.8838255073532552e-05,0.3333333333333333
802010FD0,190,0.0,8.256837729459909e-06,1.0
80A2B9A00,190,0.0,1.531111595884167e-05,0.0
80C9C4330,191,0.0,8.256837729459909e-06,1.0
80E90F9B0,191,0.0,1.531111595884167e-05,0.0
8109E7280,192,0.0,8.256837729459909e-06,1.0
8115DC350,192,0.0,1.531111595884167e-05,0.0
810BA74D0,193,0.0,1.531111595884167e-05,0.5
812F78B40,193,0.0,2.1871909961362203e-05,0.0
80AB57D20,194,0.0,8.256837729459909e-06,1.0
801FC9060,194,0.0,1.531111595884167e-05,0.0
802878890,195,0.0,8.256837729459909e-06,1.0
80D54FFA0,195,0.0,1.531111595884167e-05,0.0
8123DCC20,196,0.0,8.256837729459909e-06,1.0
8123DCCC0,196,0.0,1.531111595884167e-05,0.0
80BA3B700,197,0.0,8.256837729459909e-06,1.0
812AF3E10,197,0.0,1.531111595884167e-05,0.0
8010E8B10,198,0.0,8.256837729459909e-06,1.0
808C2F220,198,0.0,1.531111595884167e-05,0.0
80023F130,199,0.0,8.256837729459909e-06,2.0
800496930,199,0.0,1.1783976844150791e-05,0.5
8003150A0,200,0.0,8.256837729459909e-06,2.0
80C0A3C50,200,0.0,1.1783976844150791e-05,0.0
811096E30,201,0.0,8.256837729459909e-06,1.0
80CF6D060,201,0.0,2.236539418822343e-05,0.0
80082F110,202,0.0,8.256837729459909e-06,1.0
8016F2E10,202,0.0,2.236539418822343e-05,0.0
802DC3430,203,0.0,8.256837729459909e-06,1.0
804894860,203,0.0,5.9340006988771e-05,0.3333333333333333
80010EA50,204,0.0,8.256837729459909e-06,2.0
8016D0A70,204,0.0,1.1783976844150791e-05,0.0
809745C00,76,0.0,8.311399867716372e-06,0.5
805B2BFE0,205,0.0,8.256837729459909e-06,1.0
8074C62B0,205,0.0,1.531111595884167e-05,0.0
80030ADD0,206,0.0,1.531111595884167e-05,1.5
8037B7170,206,0.0,1.2795195140094007e-05,0.0
8145FE701,207,0.0,8.256837729459909e-06,1.0
81494DBC1,207,0.0,1.531111595884167e-05,0.0
100428738,208,0.0,2.9419672417605196e-05,34.75
804779B60,208,0.0,8.449187803106984e-06,0.5
80F371CA0,209,0.0,8.256837729459909e-06,1.0
80F56D690,209,0.0,1.531111595884167e-05,0.0
802E7B0C0,91,0.0,1.8174204491959728e-05,0.0
804433300,210,0.0,8.256837729459909e-06,2.0
807CF3770,210,0.0,1.1783976844150791e-05,0.5
8004652C0,211,0.0,8.256837729459909e-06,3.0
802277010,211,0.0,1.0608263805920497e-05,0.0
1004288A0,212,0.0,1.531111595884167e-05,54.0
80A350B20,212,0.0,8.382903213088635e-06,0.0
80605A570,213,0.0,8.256837729459909e-06,1.0
80CBC9DB0,213,0.0,1.531111595884167e-05,0.0
8040DED00,214,0.0,8.256837729459909e-06,1.0
8040FCD00,214,0.0,1.531111595884167e-05,0.0
80109B6D0,91,0.0,8.304174679462898e-06,0.0
813756031,215,0.0,8.256837729459909e-06,2.0
813E2A211,215,0.0,1.1783976844150791e-05,0.0
800BCCF60,76,0.0,1.8632168243636532e-05,0.5
80BF49800,76,0.0,2.427993920852017e-05,0.0
806108F70,216,0.0,8.256837729459909e-06,1.0
8064260B0,216,0.0,1.531111595884167e-05,0.0
1004287C8,217,0.0,8.256837729459909e-06,130.0
806FAFEB0,217,0.0,1.5365379637529224e-05,0.0
80D420210,218,0.0,3.379842235911546e-05,0.5
8094495B0,219,0.0,1.4463470640261736e-05,1.0
80F1A27F0,219,0.0,1.4463470640261736e-05,0.0
803BDE860,220,0.0,8.256837729459909e-06,1.0
808F8C490,220,0.0,1.531111595884167e-05,0.0
813ADF9C0,221,0.0,3.379842235911546e-05,0.5
802FA4A00,222,0.0,8.256837729459909e-06,1.0
807917A70,222,0.0,1.531111595884167e-05,0.0
807C2C720,223,0.0,1.859151296010193e-05,0.5
808C8AB40,223,0.0,2.4223016126332083e-05,0.0
8048347B0,224,0.0,8.256837729459909e-06,2.0
8109FDD40,224,0.0,1.1783976844150791e-05,0.0
80E741C00,225,0.0,3.379842235911546e-05,0.5
813B64461,226,0.0,8.256837729459909e-06,1.0
81435E561,226,0.0,1.531111595884167e-05,0.0
800794E30,91,0.0,8.304174679462898e-06,0.5
804E217B0,227,0.0,8.256837729459909e-06,1.0
804E21760,227,0.0,1.531111595884167e-05,0.0
8001FC460,228,0.0,8.256837729459909e-06,1.0
802DA9020,228,0.0,1.531111595884167e-05,0.0
808C970C0,229,0.0,3.379842235911546e-05,0.5
80CAC6B40,230,0.0,3.379842235911546e-05,0.5
808224340,91,0.0,1.1831313794153778e-05,0.0
806114B20,231,0.0,8.256837729459909e-06,1.0
806B9B1C0,231,0.0,1.531111595884167e-05,0.0
801C81FB0,232,0.0,8.256837729459909e-06,1.0
810F93A80,232,0.0,1.531111595884167e-05,0.0
8004051A0,233,0.0,8.256837729459909e-06,1.0
80C29FE10,233,0.0,1.531111595884167e-05,0.0
80F7F6DC0,234,0.0,3.379842235911546e-05,0.5
803212450,235,0.0,8.256837729459909e-06,1.0
80ED1ADE0,235,0.0,1.531111595884167e-05,0.0
813428101,236,0.0,8.256837729459909e-06,1.0
81370ED41,236,0.0,1.531111595884167e-05,0.0
800072EF0,237,0.0,8.256837729459909e-06,1.0
803812850,237,0.0,1.531111595884167e-05,0.5
80F321B40,238,0.0,8.256837729459909e-06,1.0
80F665A40,238,0.0,1.531111595884167e-05,0.0
80119F8F0,239,0.0,8.256837729459909e-06,1.0
80A6B4FE0,239,0.0,1.531111595884167e-05,0.0
8076B9F60,240,0.0,8.256837729459909e-06,2.0
807DEE050,240,0.0,1.1783976844150791e-05,0.0
80B277FF0,241,0.0,8.256837729459909e-06,1.0
812EE2E70,241,0.0,1.531111595884167e-05,0.0
8065D4FB0,242,0.0,1.4463470640261736e-05,1.0
806A7F420,242,0.0,1.4463470640261736e-05,0.5
806C1CF30,243,0.0,8.256837729459909e-06,1.0
810E7B7C0,243,0.0,1.531111595884167e-05,0.5
80E830F40,244,0.0,8.256837729459909e-06,1.0
80F0C5DF0,244,0.0,1.531111595884167e-05,0.0
812B2CC10,245,0.0,8.256837729459909e-06,1.0
813008E20,245,0.0,2.236539418822343e-05,0.0
8090ADDA0,246,0.0,8.256837729459909e-06,1.0
8099E3DD0,246,0.0,1.531111595884167e-05,0.0
809523460,247,0.0,8.319264970427889e-06,0.5
8099B5FF0,247,0.0,1.536917608275778e-05,0.0
80412D540,248,0.0,8.256837729459909e-06,1.0
804350DF0,248,0.0,1.531111595884167e-05,0.0
801C0B400,91,0.0,8.304174679462898e-06,0.5
80A2EDAC0,91,0.0,1.5346023396823377e-05,0.0
8035A3B50,249,0.0,8.256837729459909e-06,1.0
8036E6EB0,249,0.0,1.531111595884167e-05,0.0
